0,1,2,3,4,5,6,7,8,9,PM2.5
3.0,8.0,300.0,44.0,-0.9,1025.8,-20.5,0.0,9.3,2013-03-01 00:00:00,3.0
3.0,7.0,300.0,47.0,-1.1,1026.1,-21.3,0.0,9.4,2013-03-01 01:00:00,12.0
0.0,7.0,200.0,22.0,-1.7,1026.2,-23.0,0.0,8.6,2013-03-01 02:00:00,14.0
3.0,5.0,0.0,0.0,-2.1,1027.3,-23.3,0.0,6.6,2013-03-01 03:00:00,12.0
3.0,0.0,200.0,11.0,-2.4,1027.7,-22.9,0.0,4.5,2013-03-01 04:00:00,12.0
3.0,7.0,200.0,45.0,-2.8,1028.2,-22.1,0.0,1.7,2013-03-01 05:00:00,11.0
3.0,9.0,300.0,74.0,-4.0,1029.0,-21.2,0.0,1.6,2013-03-01 06:00:00,12.0
3.0,23.0,300.0,59.0,-2.4,1030.5,-21.3,0.0,1.7,2013-03-01 07:00:00,13.0
3.0,19.0,400.0,66.0,-1.0,1031.2,-21.8,0.0,2.7,2013-03-01 08:00:00,8.0
3.0,21.0,400.0,60.0,0.0,1031.3,-22.9,0.0,0.8,2013-03-01 09:00:00,3.0
3.0,22.0,400.0,64.0,0.7,1031.3,-21.6,0.0,2.5,2013-03-01 10:00:00,3.0
3.0,16.0,300.0,67.0,1.7,1030.9,-21.5,0.0,1.4,2013-03-01 11:00:00,6.0
3.0,12.0,300.0,64.0,2.8,1030.1,-20.6,0.0,2.1,2013-03-01 12:00:00,8.0
3.0,9.0,300.0,74.0,3.7,1028.9,-20.6,0.0,2.1,2013-03-01 13:00:00,5.0
3.0,10.0,400.0,73.0,4.6,1028.6,-20.7,0.0,3.4,2013-03-01 14:00:00,5.0
3.0,11.0,400.0,75.0,5.2,1028.5,-20.2,0.0,2.6,2013-03-01 15:00:00,8.0
3.0,12.0,400.0,73.0,4.9,1028.6,-20.4,0.0,1.0,2013-03-01 16:00:00,7.0
3.0,12.0,400.0,78.0,4.1,1029.0,-19.5,0.0,2.0,2013-03-01 17:00:00,10.0
3.0,18.0,400.0,76.0,2.3,1030.1,-17.3,0.0,0.6,2013-03-01 18:00:00,3.0
3.0,21.0,400.0,71.0,1.6,1030.9,-19.0,0.0,1.9,2013-03-01 19:00:00,3.0
3.0,17.0,500.0,70.0,0.6,1031.9,-18.7,0.0,2.0,2013-03-01 20:00:00,13.0
3.0,14.0,500.0,72.0,0.2,1032.8,-18.5,0.0,2.5,2013-03-01 21:00:00,9.0
3.0,11.0,400.0,74.0,-0.3,1033.4,-18.5,0.0,2.2,2013-03-01 22:00:00,5.0
3.0,8.0,400.0,78.0,-0.7,1033.1,-17.9,0.0,2.8,2013-03-01 23:00:00,9.0
3.0,8.0,300.0,78.0,-1.0,1033.0,-18.1,0.0,3.2,2013-03-02 00:00:00,5.0
3.0,8.0,300.0,76.0,-1.5,1033.7,-18.1,0.0,1.0,2013-03-02 01:00:00,3.0
3.0,8.0,300.0,77.0,-1.6,1033.3,-18.2,0.0,2.1,2013-03-02 02:00:00,4.0
3.0,8.0,300.0,77.0,-2.0,1033.0,-18.1,0.0,1.4,2013-03-02 03:00:00,8.0
3.0,8.0,300.0,78.0,-2.5,1033.0,-17.7,0.0,1.7,2013-03-02 04:00:00,6.0
9.0,31.0,500.0,52.0,-3.1,1032.6,-17.1,0.0,0.7,2013-03-02 05:00:00,6.0
13.0,33.0,700.0,45.0,-2.8,1031.8,-17.2,0.0,0.9,2013-03-02 06:00:00,4.0
12.0,31.0,700.0,49.0,-2.7,1032.3,-16.4,0.0,1.3,2013-03-02 07:00:00,13.0
8.0,31.0,500.0,48.0,-1.5,1032.3,-16.5,0.0,1.6,2013-03-02 08:00:00,12.0
20.0,54.0,800.0,25.0,-0.4,1032.2,-16.7,0.0,1.7,2013-03-02 09:00:00,12.0
18.0,39.0,700.0,42.0,0.7,1031.8,-17.1,0.0,0.5,2013-03-02 10:00:00,26.0
15.0,26.0,600.0,56.0,1.6,1031.2,-16.8,0.0,1.6,2013-03-02 11:00:00,18.0
17.0,45.0,600.0,37.0,2.1,1030.1,-16.9,0.0,1.1,2013-03-02 12:00:00,19.0
15.0,60.0,800.0,34.0,2.8,1028.5,-16.3,0.0,1.0,2013-03-02 13:00:00,12.0
21.0,67.0,1000.0,27.0,3.1,1027.7,-16.6,0.0,1.2,2013-03-02 14:00:00,18.0
22.0,66.0,1100.0,30.0,3.2,1026.9,-16.0,0.0,0.5,2013-03-02 15:00:00,32.0
24.0,68.0,1100.0,30.0,3.1,1026.4,-15.6,0.0,1.8,2013-03-02 16:00:00,43.0
23.0,61.0,1000.0,37.0,2.2,1026.1,-15.4,0.0,1.4,2013-03-02 17:00:00,49.0
23.0,61.0,1000.0,34.0,1.7,1026.1,-14.9,0.0,1.5,2013-03-02 18:00:00,38.0
26.0,76.0,1200.0,18.0,1.1,1025.7,-14.6,0.0,1.3,2013-03-02 19:00:00,52.0
35.0,87.0,1700.0,8.0,0.7,1025.6,-14.5,0.0,1.4,2013-03-02 20:00:00,69.0
53.0,90.0,2000.0,4.0,-0.1,1025.3,-13.8,0.0,0.8,2013-03-02 21:00:00,96.0
46.0,88.0,2000.0,4.0,-0.2,1024.7,-13.2,0.0,1.0,2013-03-02 22:00:00,108.0
70.0,88.0,2600.0,4.0,-0.9,1023.9,-14.8,0.0,1.6,2013-03-02 23:00:00,130.0
45.0,85.0,2600.0,4.0,-1.2,1022.9,-13.4,0.0,1.4,2013-03-03 00:00:00,125.0
40.0,81.0,1899.0,3.0,-2.1,1021.9,-12.2,0.0,1.0,2013-03-03 01:00:00,96.0
42.0,84.0,2000.0,4.0,-3.8,1020.7,-11.1,0.0,0.2,2013-03-03 02:00:00,84.0
25.0,85.0,2000.0,4.0,-4.6,1019.9,-10.2,0.0,0.1,2013-03-03 03:00:00,80.0
11.0,82.0,3000.0,5.0,-3.8,1019.5,-10.9,0.0,1.1,2013-03-03 04:00:00,81.0
10.0,76.0,3000.0,4.0,-5.3,1019.0,-9.9,0.0,1.1,2013-03-03 05:00:00,120.0
10.0,73.0,2500.0,3.0,-4.1,1018.7,-11.4,0.0,0.8,2013-03-03 06:00:00,88.0
8.0,67.0,3500.0,3.0,-2.6,1019.4,-11.9,0.0,1.4,2013-03-03 07:00:00,92.0
23.0,65.0,2700.0,3.0,-0.1,1018.6,-12.7,0.0,2.1,2013-03-03 08:00:00,113.0
67.0,62.0,2200.0,6.0,2.4,1018.4,-13.0,0.0,1.0,2013-03-03 09:00:00,99.0
66.0,61.0,1800.0,15.0,4.8,1017.5,-12.7,0.0,0.9,2013-03-03 10:00:00,88.0
61.0,65.0,1700.0,26.0,9.3,1016.2,-12.6,0.0,1.4,2013-03-03 11:00:00,85.0
60.0,73.0,1700.0,28.0,11.8,1014.9,-13.3,0.0,2.2,2013-03-03 12:00:00,95.0
58.0,84.0,1600.0,25.0,14.5,1013.6,-12.7,0.0,4.7,2013-03-03 13:00:00,109.0
48.0,78.0,1399.0,33.0,15.9,1013.0,-12.5,0.0,3.4,2013-03-03 14:00:00,99.0
28.0,64.0,1100.0,44.0,15.6,1013.0,-12.8,0.0,3.1,2013-03-03 15:00:00,70.0
23.0,42.0,900.0,64.0,14.9,1013.0,-12.4,0.0,1.6,2013-03-03 16:00:00,45.0
15.0,34.0,800.0,72.0,13.0,1013.4,-13.1,0.0,1.1,2013-03-03 17:00:00,41.0
10.0,36.0,700.0,70.0,8.4,1014.4,-11.0,0.0,0.0,2013-03-03 18:00:00,42.0
11.0,49.0,700.0,47.0,5.3,1015.5,-9.7,0.0,0.9,2013-03-03 19:00:00,39.0
25.0,63.0,800.0,27.0,10.4,1015.7,-12.3,0.0,2.4,2013-03-03 20:00:00,26.0
20.0,60.0,1300.0,27.0,7.4,1016.0,-8.3,0.0,1.5,2013-03-03 21:00:00,34.0
16.0,44.0,1100.0,44.0,5.9,1016.5,-11.3,0.0,1.4,2013-03-03 22:00:00,47.0
19.0,54.0,1000.0,28.0,8.7,1017.2,-11.3,0.0,4.2,2013-03-03 23:00:00,38.0
35.0,55.0,1200.0,29.0,8.9,1018.3,-11.2,0.0,4.5,2013-03-04 00:00:00,32.0
18.0,32.0,1000.0,48.0,7.8,1019.2,-11.0,0.0,2.6,2013-03-04 01:00:00,39.0
9.0,15.0,700.0,68.0,5.7,1019.3,-11.4,0.0,1.5,2013-03-04 02:00:00,30.0
13.0,13.0,500.0,71.0,3.0,1019.8,-12.1,0.0,1.1,2013-03-04 03:00:00,16.0
12.0,16.0,500.0,69.0,4.9,1020.1,-12.6,0.0,2.1,2013-03-04 04:00:00,3.0
5.0,11.0,400.0,77.0,2.2,1020.8,-12.1,0.0,1.0,2013-03-04 05:00:00,3.0
6.0,22.0,500.0,60.0,2.6,1021.5,-12.1,0.0,1.4,2013-03-04 06:00:00,3.0
15.0,53.0,800.0,24.0,5.2,1022.6,-11.9,0.0,1.2,2013-03-04 07:00:00,9.0
15.0,67.0,1399.0,13.0,8.2,1023.2,-12.3,0.0,3.1,2013-03-04 08:00:00,11.0
13.0,32.0,700.0,56.0,9.6,1023.5,-13.6,0.0,1.5,2013-03-04 09:00:00,15.0
6.0,19.0,600.0,72.0,11.1,1023.1,-13.8,0.0,1.4,2013-03-04 10:00:00,10.0
6.0,17.0,500.0,76.0,12.0,1022.5,-13.1,0.0,1.7,2013-03-04 11:00:00,3.0
5.0,15.0,500.0,83.0,13.4,1021.4,-13.6,0.0,3.5,2013-03-04 12:00:00,3.0
6.0,18.0,500.0,83.0,14.4,1020.2,-13.7,0.0,2.9,2013-03-04 13:00:00,5.0
8.0,19.0,500.0,82.0,15.0,1019.1,-14.2,0.0,3.5,2013-03-04 14:00:00,3.0
8.0,19.0,500.0,82.0,16.0,1018.5,-14.5,0.0,3.2,2013-03-04 15:00:00,3.0
8.0,21.0,500.0,84.0,14.9,1017.9,-13.3,0.0,3.0,2013-03-04 16:00:00,13.0
10.0,32.0,500.0,69.0,12.8,1018.1,-13.3,0.0,1.8,2013-03-04 17:00:00,8.0
7.0,55.0,700.0,50.0,10.6,1018.7,-13.5,0.0,1.6,2013-03-04 18:00:00,18.0
8.0,91.0,900.0,25.0,8.9,1019.1,-12.3,0.0,1.3,2013-03-04 19:00:00,25.0
15.0,103.0,1100.0,10.0,7.5,1019.2,-11.3,0.0,1.5,2013-03-04 20:00:00,37.0
24.0,104.0,1399.0,4.0,7.0,1019.4,-10.3,0.0,1.6,2013-03-04 21:00:00,52.0
30.0,107.0,1500.0,4.0,6.6,1019.0,-10.7,0.0,1.6,2013-03-04 22:00:00,63.0
32.0,103.0,1600.0,84.0,6.2,1018.3,-10.6,0.0,1.6,2013-03-04 23:00:00,72.0
32.0,96.0,1500.0,84.0,4.7,1017.9,-9.9,0.0,1.5,2013-03-05 00:00:00,80.0
28.0,90.0,1800.0,84.0,2.2,1017.4,-9.4,0.0,0.9,2013-03-05 01:00:00,82.0
0.0,5.0,200.0,84.0,2.2,1017.0,-10.7,0.0,1.7,2013-03-05 02:00:00,93.0
5.0,4.0,0.0,84.0,0.5,1016.7,-8.2,0.0,0.2,2013-03-05 03:00:00,98.0
5.0,0.0,200.0,84.0,0.2,1016.4,-9.0,0.0,1.7,2013-03-05 04:00:00,110.0
5.0,75.0,1500.0,84.0,0.3,1016.3,-7.5,0.0,0.0,2013-03-05 05:00:00,108.0
15.0,72.0,2100.0,84.0,-0.1,1016.3,-8.3,0.0,1.0,2013-03-05 06:00:00,104.0
17.0,68.0,2299.0,84.0,1.7,1016.1,-7.6,0.0,1.0,2013-03-05 07:00:00,100.0
35.0,65.0,2399.0,84.0,5.3,1015.9,-7.9,0.0,1.3,2013-03-05 08:00:00,103.0
75.0,64.0,2200.0,84.0,7.4,1015.4,-7.9,0.0,1.5,2013-03-05 09:00:00,104.0
79.0,70.0,2200.0,84.0,8.3,1014.7,-7.1,0.0,1.4,2013-03-05 10:00:00,114.0
77.0,69.0,1899.0,84.0,10.7,1013.6,-6.6,0.0,1.1,2013-03-05 11:00:00,124.0
76.0,68.0,1800.0,33.0,12.3,1012.3,-7.2,0.0,1.4,2013-03-05 12:00:00,127.0
84.0,78.0,1700.0,84.0,12.2,1010.9,-7.3,0.0,0.6,2013-03-05 13:00:00,129.0
79.0,77.0,1600.0,84.0,13.6,1010.3,-7.8,0.0,1.7,2013-03-05 14:00:00,142.0
60.0,86.0,1500.0,84.0,13.7,1009.8,-7.1,0.0,1.6,2013-03-05 15:00:00,85.0
71.0,118.0,1600.0,69.0,12.9,1009.7,-6.2,0.0,1.0,2013-03-05 16:00:00,3.0
83.0,112.0,2000.0,61.0,12.0,1010.2,-6.5,0.0,1.2,2013-03-05 17:00:00,3.0
86.0,128.0,2100.0,61.0,8.9,1010.7,-5.4,0.0,0.7,2013-03-05 18:00:00,3.0
84.0,140.0,2200.0,61.0,7.3,1011.1,-5.1,0.0,1.3,2013-03-05 19:00:00,154.0
87.0,145.0,2399.0,61.0,4.1,1011.4,-4.1,0.0,1.3,2013-03-05 20:00:00,193.0
101.0,143.0,2799.0,61.0,5.0,1011.3,-5.1,0.0,1.5,2013-03-05 21:00:00,218.0
92.0,134.0,2500.0,61.0,5.3,1011.3,-5.7,0.0,1.4,2013-03-05 22:00:00,249.0
77.0,114.0,2100.0,61.0,4.1,1011.0,-5.7,0.0,1.7,2013-03-05 23:00:00,233.0
79.6824,97.7228,0.0,61.0,4.5,1011.1,-5.0,0.0,0.7,2013-03-06 00:00:00,200.0
77.0,104.0,2200.0,61.0,2.9,1010.9,-5.5,0.0,1.0,2013-03-06 01:00:00,163.0
66.0,106.0,2399.0,61.0,4.6,1010.4,-6.0,0.0,1.2,2013-03-06 02:00:00,172.0
61.0,100.0,2200.0,61.0,4.1,1010.2,-5.9,0.0,1.8,2013-03-06 03:00:00,160.0
59.0,94.0,2000.0,61.0,3.7,1009.9,-5.8,0.0,2.1,2013-03-06 04:00:00,146.0
67.0,85.0,1700.0,61.0,3.9,1010.4,-5.9,0.0,1.8,2013-03-06 05:00:00,137.0
73.0,82.0,1800.0,61.0,4.0,1010.9,-5.8,0.0,2.0,2013-03-06 06:00:00,129.0
86.0,82.0,1600.0,61.0,4.5,1011.6,-5.9,0.0,1.9,2013-03-06 07:00:00,128.0
84.0,72.0,1600.0,61.0,5.3,1011.6,-5.7,0.0,2.1,2013-03-06 08:00:00,120.0
94.0,80.0,1800.0,61.0,6.4,1011.6,-5.6,0.0,2.2,2013-03-06 09:00:00,136.0
97.0,79.0,2100.0,61.0,8.4,1011.4,-5.5,0.0,1.7,2013-03-06 10:00:00,143.0
87.108,75.7557,0.0,61.0,9.1,1010.5,-5.6,0.0,2.1,2013-03-06 11:00:00,164.0
103.0,87.0,2700.0,61.0,9.7,1009.3,-5.4,0.0,1.7,2013-03-06 12:00:00,160.0
89.0,77.0,1899.0,61.0,10.8,1008.4,-4.9,0.0,0.9,2013-03-06 13:00:00,168.0
84.0,74.0,1800.0,49.0,12.2,1008.0,-4.9,0.0,1.2,2013-03-06 14:00:00,160.0
99.0,86.0,1899.0,49.0,13.1,1008.0,-4.6,0.0,1.2,2013-03-06 15:00:00,161.0
113.0,111.0,2200.0,49.0,12.8,1007.9,-4.8,0.0,0.2,2013-03-06 16:00:00,165.0
125.0,112.0,2200.0,36.0,10.2,1008.4,-3.5,0.0,0.6,2013-03-06 17:00:00,188.0
113.0,113.0,2600.0,26.0,8.1,1009.2,-3.4,0.0,0.0,2013-03-06 18:00:00,201.0
102.0,120.0,2399.0,26.0,5.5,1009.9,-3.3,0.0,0.1,2013-03-06 19:00:00,186.0
86.0,111.0,2899.0,26.0,4.4,1010.3,-3.6,0.0,0.8,2013-03-06 20:00:00,194.0
83.0,116.0,2899.0,26.0,3.4,1010.0,-3.0,0.0,0.1,2013-03-06 21:00:00,203.0
83.0,118.0,3500.0,26.0,3.7,1010.0,-3.1,0.0,0.5,2013-03-06 22:00:00,217.0
74.0,114.0,4500.0,26.0,2.5,1009.9,-2.6,0.0,0.9,2013-03-06 23:00:00,248.0
